Date,Open,High,Low,Close,Adj Close,Volume
2012-10-02,11.220000,11.220000,11.220000,11.220000,6.845738,0
2012-10-03,11.210000,11.210000,11.210000,11.210000,6.839635,0
2012-10-04,11.200000,11.200000,11.200000,11.200000,6.833536,0
2012-10-05,11.180000,11.180000,11.180000,11.180000,6.821333,0
2012-10-08,11.200000,11.200000,11.200000,11.200000,6.833536,0
2012-10-09,11.180000,11.180000,11.180000,11.180000,6.821333,0
2012-10-10,11.180000,11.180000,11.180000,11.180000,6.821333,0
2012-10-11,11.200000,11.200000,11.200000,11.200000,6.833536,0
2012-10-12,11.210000,11.210000,11.210000,11.210000,6.839635,0
2012-10-15,11.210000,11.210000,11.210000,11.210000,6.839635,0
2012-10-16,11.200000,11.200000,11.200000,11.200000,6.833536,0
2012-10-17,11.190000,11.190000,11.190000,11.190000,6.827435,0
2012-10-18,11.180000,11.180000,11.180000,11.180000,6.821333,0
2012-10-19,11.200000,11.200000,11.200000,11.200000,6.833536,0
2012-10-22,11.190000,11.190000,11.190000,11.190000,6.827435,0
2012-10-23,11.190000,11.190000,11.190000,11.190000,6.827435,0
2012-10-24,11.190000,11.190000,11.190000,11.190000,6.827435,0
2012-10-25,11.160000,11.160000,11.160000,11.160000,6.809129,0
2012-10-26,11.200000,11.200000,11.200000,11.200000,6.833536,0
2012-10-31,11.220000,11.220000,11.220000,11.220000,6.845738,0
2012-11-01,11.210000,11.210000,11.210000,11.210000,6.839635,0
2012-11-02,11.200000,11.200000,11.200000,11.200000,6.833536,0
2012-11-05,11.220000,11.220000,11.220000,11.220000,6.845738,0
2012-11-06,11.200000,11.200000,11.200000,11.200000,6.833536,0
2012-11-07,11.240000,11.240000,11.240000,11.240000,6.857938,0
2012-11-08,11.250000,11.250000,11.250000,11.250000,6.864040,0
2012-11-09,11.240000,11.240000,11.240000,11.240000,6.857938,0
2012-11-12,11.250000,11.250000,11.250000,11.250000,6.864040,0
2012-11-13,11.240000,11.240000,11.240000,11.240000,6.857938,0
2012-11-14,11.240000,11.240000,11.240000,11.240000,6.857938,0
2012-11-15,11.240000,11.240000,11.240000,11.240000,6.857938,0
2012-11-16,11.250000,11.250000,11.250000,11.250000,6.864040,0
2012-11-19,11.240000,11.240000,11.240000,11.240000,6.857938,0
2012-11-20,11.220000,11.220000,11.220000,11.220000,6.845738,0
2012-11-21,11.220000,11.220000,11.220000,11.220000,6.845738,0
2012-11-23,11.230000,11.230000,11.230000,11.230000,6.851838,0
2012-11-26,11.240000,11.240000,11.240000,11.240000,6.857938,0
2012-11-27,11.250000,11.250000,11.250000,11.250000,6.864040,0
2012-11-28,11.260000,11.260000,11.260000,11.260000,6.870147,0
2012-11-29,11.270000,11.270000,11.270000,11.270000,6.876247,0
2012-11-30,11.270000,11.270000,11.270000,11.270000,6.876247,0
2012-12-03,11.280000,11.280000,11.280000,11.280000,6.882351,0
2012-12-04,11.290000,11.290000,11.290000,11.290000,6.888448,0
2012-12-05,11.300000,11.300000,11.300000,11.300000,6.894547,0
2012-12-06,11.300000,11.300000,11.300000,11.300000,6.894547,0
2012-12-07,11.280000,11.280000,11.280000,11.280000,6.882351,0
2012-12-10,11.280000,11.280000,11.280000,11.280000,6.882351,0
2012-12-11,11.280000,11.280000,11.280000,11.280000,6.882351,0
2012-12-12,11.270000,11.270000,11.270000,11.270000,6.876247,0
2012-12-13,11.260000,11.260000,11.260000,11.260000,6.870147,0
2012-12-14,11.270000,11.270000,11.270000,11.270000,6.876247,0
2012-12-17,11.250000,11.250000,11.250000,11.250000,6.864040,0
2012-12-18,11.250000,11.250000,11.250000,11.250000,6.864040,0
2012-12-19,11.260000,11.260000,11.260000,11.260000,6.870147,0
2012-12-20,11.270000,11.270000,11.270000,11.270000,6.876247,0
2012-12-21,11.210000,11.210000,11.210000,11.210000,6.839635,0
2012-12-24,11.200000,11.200000,11.200000,11.200000,6.833536,0
2012-12-26,11.210000,11.210000,11.210000,11.210000,6.839635,0
2012-12-27,11.220000,11.220000,11.220000,11.220000,6.845738,0
2012-12-28,11.220000,11.220000,11.220000,11.220000,6.845738,0
2012-12-31,11.220000,11.220000,11.220000,11.220000,6.845738,0
2013-01-02,11.210000,11.210000,11.210000,11.210000,6.839635,0
2013-01-03,11.180000,11.180000,11.180000,11.180000,6.821333,0
2013-01-04,11.190000,11.190000,11.190000,11.190000,6.827435,0
2013-01-07,11.200000,11.200000,11.200000,11.200000,6.833536,0
2013-01-08,11.210000,11.210000,11.210000,11.210000,6.839635,0
2013-01-09,11.210000,11.210000,11.210000,11.210000,6.839635,0
2013-01-10,11.210000,11.210000,11.210000,11.210000,6.839635,0
2013-01-11,11.220000,11.220000,11.220000,11.220000,6.845738,0
2013-01-14,11.220000,11.220000,11.220000,11.220000,6.845738,0
2013-01-15,11.230000,11.230000,11.230000,11.230000,6.851838,0
2013-01-16,11.240000,11.240000,11.240000,11.240000,6.857938,0
2013-01-17,11.220000,11.220000,11.220000,11.220000,6.845738,0
2013-01-18,11.230000,11.230000,11.230000,11.230000,6.851838,0
2013-01-22,11.230000,11.230000,11.230000,11.230000,6.851838,0
2013-01-23,11.240000,11.240000,11.240000,11.240000,6.857938,0
2013-01-24,11.220000,11.220000,11.220000,11.220000,6.845738,0
2013-01-25,11.200000,11.200000,11.200000,11.200000,6.833536,0
2013-01-28,11.190000,11.190000,11.190000,11.190000,6.827435,0
2013-01-29,11.180000,11.180000,11.180000,11.180000,6.821333,0
2013-01-30,11.180000,11.180000,11.180000,11.180000,6.821333,0
2013-01-31,11.190000,11.190000,11.190000,11.190000,6.827435,0
2013-02-01,11.180000,11.180000,11.180000,11.180000,6.821333,0
2013-02-04,11.180000,11.180000,11.180000,11.180000,6.821333,0
2013-02-05,11.180000,11.180000,11.180000,11.180000,6.821333,0
2013-02-06,11.190000,11.190000,11.190000,11.190000,6.827435,0
2013-02-07,11.180000,11.180000,11.180000,11.180000,6.821333,0
2013-02-08,11.170000,11.170000,11.170000,11.170000,6.815233,0
2013-02-11,11.170000,11.170000,11.170000,11.170000,6.815233,0
2013-02-12,11.170000,11.170000,11.170000,11.170000,6.815233,0
2013-02-13,11.170000,11.170000,11.170000,11.170000,6.815233,0
2013-02-14,11.180000,11.180000,11.180000,11.180000,6.821333,0
2013-02-15,11.190000,11.190000,11.190000,11.190000,6.827435,0
2013-02-19,11.180000,11.180000,11.180000,11.180000,6.821333,0
2013-02-20,11.170000,11.170000,11.170000,11.170000,6.815233,0
2013-02-21,11.180000,11.180000,11.180000,11.180000,6.821333,0
2013-02-22,11.180000,11.180000,11.180000,11.180000,6.821333,0
2013-02-25,11.210000,11.210000,11.210000,11.210000,6.839635,0
2013-02-26,11.190000,11.190000,11.190000,11.190000,6.827435,0
2013-02-27,11.190000,11.190000,11.190000,11.190000,6.827435,0
2013-02-28,11.200000,11.200000,11.200000,11.200000,6.833536,0
2013-03-01,11.220000,11.220000,11.220000,11.220000,6.845738,0
2013-03-04,11.210000,11.210000,11.210000,11.210000,6.839635,0
2013-03-05,11.210000,11.210000,11.210000,11.210000,6.839635,0
2013-03-06,11.200000,11.200000,11.200000,11.200000,6.833536,0
2013-03-07,11.180000,11.180000,11.180000,11.180000,6.821333,0
2013-03-08,11.150000,11.150000,11.150000,11.150000,6.803031,0
2013-03-11,11.160000,11.160000,11.160000,11.160000,6.809129,0
2013-03-12,11.170000,11.170000,11.170000,11.170000,6.815233,0
2013-03-13,11.160000,11.160000,11.160000,11.160000,6.809129,0
2013-03-14,11.170000,11.170000,11.170000,11.170000,6.815233,0
2013-03-15,11.190000,11.190000,11.190000,11.190000,6.827435,0
2013-03-18,11.190000,11.190000,11.190000,11.190000,6.827435,0
2013-03-19,11.190000,11.190000,11.190000,11.190000,6.827435,0
2013-03-20,11.180000,11.180000,11.180000,11.180000,6.821333,0
2013-03-21,11.180000,11.180000,11.180000,11.180000,6.821333,0
2013-03-22,11.180000,11.180000,11.180000,11.180000,6.821333,0
2013-03-25,11.180000,11.180000,11.180000,11.180000,6.821333,0
2013-03-26,11.190000,11.190000,11.190000,11.190000,6.827435,0
2013-03-27,11.200000,11.200000,11.200000,11.200000,6.833536,0
2013-03-28,11.200000,11.200000,11.200000,11.200000,6.833536,0
2013-04-01,11.190000,11.190000,11.190000,11.190000,6.827435,0
2013-04-02,11.190000,11.190000,11.190000,11.190000,6.827435,0
2013-04-03,11.200000,11.200000,11.200000,11.200000,6.833536,0
2013-04-04,11.240000,11.240000,11.240000,11.240000,6.857938,0
2013-04-05,11.270000,11.270000,11.270000,11.270000,6.876247,0
2013-04-08,11.280000,11.280000,11.280000,11.280000,6.882351,0
2013-04-09,11.280000,11.280000,11.280000,11.280000,6.882351,0
2013-04-10,11.270000,11.270000,11.270000,11.270000,6.876247,0
2013-04-11,11.270000,11.270000,11.270000,11.270000,6.876247,0
2013-04-12,11.290000,11.290000,11.290000,11.290000,6.888448,0
2013-04-15,11.270000,11.270000,11.270000,11.270000,6.876247,0
2013-04-16,11.270000,11.270000,11.270000,11.270000,6.876247,0
2013-04-17,11.280000,11.280000,11.280000,11.280000,6.882351,0
2013-04-18,11.290000,11.290000,11.290000,11.290000,6.888448,0
2013-04-19,11.300000,11.300000,11.300000,11.300000,6.894547,0
2013-04-22,11.310000,11.310000,11.310000,11.310000,6.900649,0
2013-04-23,11.320000,11.320000,11.320000,11.320000,6.906753,0
