"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 11, 2019","2.9365","2.9350","2.9350","2.9350","0.19K","0.19%"
"Mar 08, 2019","2.9310","2.9295","2.9295","2.9295","0.08K","-0.69%"
"Mar 07, 2019","2.9515","2.9500","2.9500","2.9500","0.07K","-0.19%"
"Mar 06, 2019","2.9570","2.9555","2.9555","2.9555","0.11K","-0.34%"
"Mar 05, 2019","2.9670","2.9655","2.9655","2.9655","0.03K","0.73%"
"Mar 04, 2019","2.9455","2.9440","2.9440","2.9440","0.07K","-0.66%"
"Mar 01, 2019","2.9650","2.9635","2.9635","2.9635","0.00K","-0.57%"
"Feb 28, 2019","2.9820","2.9805","2.9805","2.9805","0.19K","-0.37%"
"Feb 27, 2019","2.9930","2.9915","2.9915","2.9915","0.52K","0.42%"
"Feb 26, 2019","2.9805","2.9790","2.9790","2.9790","0.21K","0.25%"
"Feb 25, 2019","2.9730","2.9715","2.9715","2.9715","0.01K","0.02%"
"Feb 22, 2019","2.9725","2.9710","2.9710","2.9710","0.00K","1.40%"
"Feb 21, 2019","2.9315","2.9300","2.9300","2.9300","0.00K","-0.41%"
"Feb 20, 2019","2.9435","2.9420","2.9420","2.9420","0.02K","1.17%"
"Feb 19, 2019","2.9095","2.9080","2.9080","2.9080","0.03K","2.52%"
"Feb 18, 2019","2.8380","2.8160","2.8480","2.8030","-","0.78%"
"Feb 17, 2019","2.8160","2.8150","2.8170","2.8110","-","-0.93%"
"Feb 15, 2019","2.8425","2.8410","2.8410","2.8410","0.00K","0.82%"
"Feb 14, 2019","2.8195","2.8180","2.8180","2.8180","0.01K","0.27%"
"Feb 13, 2019","2.8120","2.8105","2.8105","2.8105","0.04K","-0.12%"
"Feb 12, 2019","2.8155","2.8140","2.8140","2.8140","0.01K","-0.64%"
"Feb 11, 2019","2.8335","2.8320","2.8320","2.8320","0.31K","-1.01%"
"Feb 08, 2019","2.8625","2.8610","2.8610","2.8610","0.01K","-0.52%"
"Feb 07, 2019","2.8775","2.8760","2.8760","2.8760","0.03K","0.00%"
"Feb 06, 2019","2.8775","2.8760","2.8760","2.8760","0.23K","0.47%"
"Feb 05, 2019","2.8640","2.8625","2.8625","2.8625","0.06K","0.77%"
"Feb 04, 2019","2.8420","2.8405","2.8405","2.8405","0.01K","0.58%"
"Feb 01, 2019","2.8255","2.8240","2.8240","2.8240","0.02K","-0.35%"
"Jan 31, 2019","2.8355","2.8340","2.8340","2.8340","0.01K","0.51%"
"Jan 30, 2019","2.8210","2.8195","2.8195","2.8195","0.04K","1.42%"
"Jan 29, 2019","2.7815","2.7800","2.7800","2.7800","0.01K","1.53%"
"Jan 28, 2019","2.7395","2.7380","2.7380","2.7380","0.07K","-1.51%"
"Jan 25, 2019","2.7815","2.7800","2.7800","2.7800","0.02K","2.60%"
"Jan 24, 2019","2.7110","2.7095","2.7095","2.7095","0.01K","-0.37%"
"Jan 23, 2019","2.7210","2.7195","2.7195","2.7195","0.01K","0.00%"
"Jan 22, 2019","2.7210","2.7195","2.7195","2.7195","0.02K","1.45%"
"Jan 21, 2019","2.6820","2.7090","2.7100","2.6750","-","-1.00%"
"Jan 20, 2019","2.7090","2.7120","2.7160","2.7090","-","-2.01%"
"Jan 18, 2019","2.7645","2.7630","2.7630","2.7630","0.01K","1.08%"
"Jan 17, 2019","2.7350","2.7335","2.7335","2.7335","0.00K","0.53%"
"Jan 16, 2019","2.7205","2.7190","2.7190","2.7190","0.01K","1.06%"
"Jan 15, 2019","2.6920","2.6905","2.6905","2.6905","0.01K","-0.48%"
"Jan 14, 2019","2.7050","2.7035","2.7035","2.7035","0.02K","-1.01%"
"Jan 11, 2019","2.7325","2.7310","2.7310","2.7310","0.01K","0.94%"
"Jan 10, 2019","2.7070","2.7055","2.7055","2.7055","0.02K","-0.68%"
"Jan 09, 2019","2.7255","2.7240","2.7240","2.7240","0.05K","0.09%"
"Jan 08, 2019","2.7230","2.7215","2.7215","2.7215","0.04K","0.93%"
"Jan 07, 2019","2.6980","2.6965","2.6965","2.6965","0.00K","-0.42%"
"Jan 04, 2019","2.7095","2.7080","2.7080","2.7080","0.05K","2.73%"
"Jan 03, 2019","2.6375","2.6360","2.6360","2.6360","0.00K","-1.57%"
"Jan 02, 2019","2.6795","2.6780","2.6780","2.6780","0.01K","1.04%"
"Jan 01, 2019","2.6520","2.6430","2.6540","2.6380","-","-0.90%"
"Dec 31, 2018","2.6760","2.6745","2.6745","2.6745","0.04K","-1.44%"
"Dec 28, 2018","2.7150","2.7135","2.7135","2.7135","0.01K","-0.35%"
"Dec 27, 2018","2.7245","2.7230","2.7230","2.7230","0.02K","-0.55%"
"Dec 26, 2018","2.7395","2.7380","2.7380","2.7380","0.02K","2.95%"
"Dec 25, 2018","2.6610","2.6640","2.6710","2.6490","-","-1.39%"
"Dec 24, 2018","2.6985","2.6970","2.6970","2.6970","0.20K","-0.26%"
"Dec 21, 2018","2.7055","2.7040","2.7040","2.7040","0.00K","-0.99%"
"Dec 20, 2018","2.7325","2.7310","2.7310","2.7310","0.02K","-0.44%"
"Dec 19, 2018","2.7445","2.7430","2.7430","2.7430","0.02K","1.70%"
"Dec 18, 2018","2.6985","2.6970","2.6970","2.6970","0.03K","-3.31%"
"Dec 17, 2018","2.7910","2.7895","2.7895","2.7895","0.01K","-0.04%"
"Dec 14, 2018","2.7920","2.7905","2.7905","2.7905","0.01K","0.27%"
"Dec 13, 2018","2.7845","2.7830","2.7830","2.7830","0.02K","-0.05%"
"Dec 12, 2018","2.7860","2.7845","2.7845","2.7845","0.01K","-0.32%"
"Dec 11, 2018","2.7950","2.7935","2.7935","2.7935","0.16K","0.98%"
"Dec 10, 2018","2.7680","2.7665","2.7665","2.7665","0.01K","-1.25%"
"Dec 07, 2018","2.8030","2.8015","2.8015","2.8015","0.01K","0.25%"
"Dec 06, 2018","2.7960","2.7945","2.7945","2.7945","0.02K","-1.10%"
"Dec 05, 2018","2.8270","2.8255","2.8255","2.8255","0.00K","0.28%"
"Dec 04, 2018","2.8190","2.8175","2.8175","2.8175","0.01K","-1.04%"
"Dec 03, 2018","2.8485","2.8470","2.8470","2.8470","0.00K","0.99%"
"Nov 30, 2018","2.8205","2.8190","2.8190","2.8190","0.00K","-0.27%"
"Nov 29, 2018","2.8280","2.8265","2.8265","2.8265","0.15K","-0.56%"
"Nov 28, 2018","2.8440","2.8425","2.8425","2.8425","0.01K","2.82%"
"Nov 27, 2018","2.7660","2.7645","2.7645","2.7645","0.01K","-1.44%"
"Nov 26, 2018","2.8065","2.8050","2.8050","2.8050","0.02K","-0.25%"
"Nov 23, 2018","2.8135","2.8120","2.8120","2.8120","0.01K","0.55%"
"Nov 22, 2018","2.7980","2.7830","2.8010","2.7720","-","-0.71%"
"Nov 21, 2018","2.8180","2.8165","2.8165","2.8165","0.22K","0.88%"
"Nov 20, 2018","2.7935","2.7920","2.7920","2.7920","0.05K","-0.45%"
"Nov 19, 2018","2.8060","2.8045","2.8045","2.8045","0.01K","-1.11%"
"Nov 16, 2018","2.8375","2.8360","2.8360","2.8360","0.03K","0.66%"
"Nov 15, 2018","2.8190","2.8175","2.8175","2.8175","0.00K","0.93%"
"Nov 14, 2018","2.7930","2.7915","2.7915","2.7915","0.32K","0.54%"
"Nov 13, 2018","2.7780","2.7765","2.7765","2.7765","0.02K","0.62%"
"Nov 12, 2018","2.7610","2.7595","2.7595","2.7595","1.07K","-0.22%"
"Nov 09, 2018","2.7670","2.7655","2.7655","2.7655","0.00K","-2.14%"
"Nov 08, 2018","2.8275","2.8260","2.8260","2.8260","0.01K","-0.56%"
"Nov 07, 2018","2.8435","2.8420","2.8420","2.8420","0.00K","0.74%"
"Nov 06, 2018","2.8225","2.8210","2.8210","2.8210","0.01K","-0.83%"
"Nov 05, 2018","2.8460","2.8445","2.8445","2.8445","0.05K","-1.57%"
"Nov 02, 2018","2.8915","2.8900","2.8900","2.8900","0.01K","2.83%"
"Nov 01, 2018","2.8120","2.8105","2.8105","2.8105","0.13K","2.18%"
"Oct 31, 2018","2.7520","2.7505","2.7505","2.7505","0.01K","-0.24%"
"Oct 30, 2018","2.7585","2.7570","2.7570","2.7570","0.18K","-2.70%"
"Oct 29, 2018","2.8350","2.8335","2.8335","2.8335","0.00K","0.16%"
"Oct 26, 2018","2.8305","2.8290","2.8290","2.8290","0.08K","-0.74%"
"Oct 25, 2018","2.8515","2.8500","2.8500","2.8500","0.01K","-0.18%"
"Oct 24, 2018","2.8565","2.8550","2.8550","2.8550","0.03K","-0.07%"
"Oct 23, 2018","2.8585","2.8570","2.8570","2.8570","0.03K","-0.64%"
"Oct 22, 2018","2.8770","2.8755","2.8755","2.8755","0.00K","0.24%"
"Oct 19, 2018","2.8700","2.8685","2.8685","2.8685","0.10K","0.95%"
"Oct 18, 2018","2.8430","2.8415","2.8415","2.8415","0.00K","-0.80%"
"Oct 17, 2018","2.8660","2.8645","2.8645","2.8645","0.01K","-0.14%"
"Oct 16, 2018","2.8700","2.8685","2.8685","2.8685","0.01K","0.03%"
"Oct 15, 2018","2.8690","2.8675","2.8675","2.8675","0.02K","-0.21%"
"Oct 12, 2018","2.8750","2.8735","2.8735","2.8735","0.01K","-0.12%"
"Oct 11, 2018","2.8785","2.8770","2.8770","2.8770","0.00K","0.81%"
"Oct 10, 2018","2.8555","2.8540","2.8540","2.8540","0.01K","-1.13%"
"Oct 09, 2018","2.8880","2.8865","2.8865","2.8865","0.01K","1.10%"
"Oct 08, 2018","2.8565","2.8550","2.8550","2.8550","0.34K","0.11%"
"Oct 05, 2018","2.8535","2.8520","2.8520","2.8520","0.02K","-0.30%"
"Oct 04, 2018","2.8620","2.8605","2.8605","2.8605","0.28K","-1.92%"
"Oct 03, 2018","2.9180","2.9165","2.9165","2.9165","0.00K","1.23%"
