"Date","Price","Open","High","Low","Change %"
"Sep 17, 2018","686.25","687.20","688.33","683.73","-0.11%"
"Sep 14, 2018","687.00","682.10","688.53","678.82","0.72%"
"Sep 13, 2018","682.06","689.20","689.20","679.58","-1.04%"
"Sep 12, 2018","689.20","696.84","696.84","687.03","-1.10%"
"Sep 11, 2018","696.90","696.44","701.19","695.98","0.08%"
"Sep 10, 2018","696.35","690.47","696.90","689.05","0.78%"
"Sep 07, 2018","690.93","687.30","693.83","684.84","0.58%"
"Sep 06, 2018","686.93","685.88","690.53","681.08","0.13%"
"Sep 05, 2018","686.05","692.30","696.70","685.95","-0.87%"
"Sep 04, 2018","692.10","683.06","696.26","683.06","1.30%"
"Sep 03, 2018","683.25","681.50","686.45","680.87","0.24%"
"Aug 31, 2018","681.62","679.55","683.88","677.08","0.31%"
"Aug 30, 2018","679.48","668.00","681.21","668.00","1.75%"
"Aug 29, 2018","667.79","663.10","668.39","662.99","0.73%"
"Aug 28, 2018","662.92","658.99","663.04","654.26","0.57%"
"Aug 27, 2018","659.15","660.79","662.25","654.88","-0.25%"
"Aug 24, 2018","660.79","669.80","669.80","659.59","-1.34%"
"Aug 23, 2018","669.75","661.96","670.08","661.89","1.16%"
"Aug 22, 2018","662.08","664.05","664.80","657.91","-0.29%"
"Aug 21, 2018","664.00","668.57","668.93","662.09","-0.67%"
"Aug 20, 2018","668.51","667.70","672.57","663.57","0.12%"
"Aug 17, 2018","667.70","669.39","671.81","665.24","-0.27%"
"Aug 16, 2018","669.50","669.45","672.25","662.25","0.27%"
"Aug 15, 2018","667.70","664.33","667.78","664.30","0.49%"
"Aug 14, 2018","664.42","660.41","665.49","656.99","0.62%"
"Aug 13, 2018","660.35","654.29","661.88","654.20","0.94%"
"Aug 10, 2018","654.20","647.08","656.00","646.87","1.11%"
"Aug 09, 2018","647.05","645.56","648.45","643.05","0.28%"
"Aug 08, 2018","645.23","643.12","645.91","642.41","0.33%"
"Aug 07, 2018","643.12","646.88","646.88","640.23","-0.58%"
"Aug 06, 2018","646.88","643.98","648.32","643.34","0.45%"
"Aug 03, 2018","643.98","645.17","645.85","641.92","-0.20%"
"Aug 02, 2018","645.28","642.92","647.63","642.03","0.36%"
"Aug 01, 2018","642.95","637.51","643.55","637.51","0.89%"
"Jul 31, 2018","637.25","638.59","641.62","635.92","-0.21%"
"Jul 30, 2018","638.60","643.21","643.21","636.56","-0.74%"
"Jul 27, 2018","643.36","647.48","649.15","641.09","-0.63%"
"Jul 26, 2018","647.42","646.08","649.65","644.53","0.21%"
"Jul 25, 2018","646.05","654.75","654.75","645.50","-1.33%"
"Jul 24, 2018","654.75","662.60","663.22","653.05","-1.11%"
"Jul 23, 2018","662.12","661.09","665.13","659.51","0.22%"
"Jul 20, 2018","660.68","663.79","663.79","656.47","-0.48%"
"Jul 19, 2018","663.85","652.75","664.83","652.75","1.70%"
"Jul 18, 2018","652.75","654.22","659.15","652.25","-0.17%"
"Jul 17, 2018","653.85","650.33","655.17","650.33","0.57%"
"Jul 16, 2018","650.13","650.28","651.28","648.88","-0.04%"
"Jul 13, 2018","650.42","649.23","651.73","646.84","0.20%"
"Jul 12, 2018","649.09","653.12","653.12","645.75","-0.61%"
"Jul 11, 2018","653.08","648.36","654.55","646.65","0.74%"
"Jul 10, 2018","648.28","650.67","653.60","645.65","-0.35%"
"Jul 09, 2018","650.55","657.05","657.75","649.72","-0.97%"
"Jul 06, 2018","656.95","656.24","659.24","653.93","0.07%"
"Jul 05, 2018","656.48","651.39","658.09","649.29","0.75%"
"Jul 04, 2018","651.60","650.43","655.89","650.42","0.26%"
"Jul 03, 2018","649.88","657.55","658.05","648.95","-1.20%"
"Jul 02, 2018","657.75","654.05","659.22","653.40","0.58%"
"Jun 29, 2018","653.94","649.50","655.84","646.88","0.68%"
"Jun 28, 2018","649.50","646.32","650.17","645.23","0.51%"
"Jun 27, 2018","646.21","640.93","647.71","640.43","0.81%"
"Jun 26, 2018","641.02","638.71","641.57","637.54","0.37%"
"Jun 25, 2018","638.65","638.28","640.78","637.64","0.06%"
"Jun 22, 2018","638.25","640.07","640.07","635.72","-0.29%"
"Jun 21, 2018","640.12","640.44","642.25","636.43","-0.05%"
"Jun 20, 2018","640.44","640.20","641.50","636.57","0.05%"
"Jun 19, 2018","640.14","636.72","643.16","636.72","0.53%"
"Jun 18, 2018","636.75","632.62","639.08","632.62","0.64%"
"Jun 15, 2018","632.70","638.21","639.60","631.08","-0.86%"
"Jun 14, 2018","638.21","634.58","638.64","630.62","0.58%"
"Jun 13, 2018","634.50","637.55","638.45","632.12","-0.49%"
"Jun 12, 2018","637.60","633.34","638.02","630.90","0.69%"
"Jun 11, 2018","633.25","630.00","634.00","630.00","0.51%"
"Jun 08, 2018","630.05","631.09","632.03","628.68","-0.17%"
"Jun 07, 2018","631.14","628.14","633.38","626.29","0.52%"
"Jun 06, 2018","627.87","633.69","633.69","627.07","-0.93%"
"Jun 05, 2018","633.75","631.39","635.59","630.59","0.38%"
"Jun 04, 2018","631.34","631.47","631.93","628.10","-0.02%"
"Jun 01, 2018","631.49","630.59","634.36","629.66","0.14%"
"May 31, 2018","630.59","627.69","632.91","627.00","0.47%"
"May 30, 2018","627.62","629.79","629.98","625.52","-0.29%"
"May 29, 2018","629.45","624.42","630.45","624.40","0.80%"
"May 28, 2018","624.48","624.82","626.09","623.33","-0.04%"
"May 25, 2018","624.76","626.91","627.94","622.78","-0.33%"
"May 24, 2018","626.86","622.95","627.28","619.64","0.62%"
