"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 02, 2021","4.4155","4.4770","4.4980","4.3940","11.50K","-0.90%"
"Jul 30, 2021","4.4555","4.4950","4.5280","4.4255","12.05K","-1.02%"
"Jul 29, 2021","4.5015","4.4480","4.5135","4.4315","11.47K","1.03%"
"Jul 28, 2021","4.4555","4.5205","4.5395","4.4020","14.95K","-1.10%"
"Jul 27, 2021","4.5050","4.5500","4.5860","4.4660","16.88K","-0.89%"
"Jul 26, 2021","4.5455","4.4365","4.5665","4.3905","23.94K","3.57%"
"Jul 23, 2021","4.3890","4.3310","4.4455","4.3295","17.61K","1.28%"
"Jul 22, 2021","4.3335","4.2780","4.3400","4.2730","6.11K","1.51%"
"Jul 21, 2021","4.2690","4.2580","4.2860","4.2245","3.96K","0.20%"
"Jul 20, 2021","4.2605","4.1985","4.2665","4.1955","4.90K","1.46%"
"Jul 19, 2021","4.1990","4.2965","4.3030","4.1655","6.27K","-2.79%"
"Jul 16, 2021","4.3195","4.3090","4.3400","4.3000","3.87K","0.01%"
"Jul 15, 2021","4.3190","4.2625","4.3420","4.2500","5.87K","1.28%"
"Jul 14, 2021","4.2645","4.2865","4.3025","4.2565","4.34K","-0.88%"
"Jul 13, 2021","4.3025","4.3300","4.3375","4.2525","6.29K","-0.22%"
"Jul 12, 2021","4.3120","4.3525","4.3600","4.2785","4.98K","-0.71%"
"Jul 09, 2021","4.3430","4.2725","4.3655","4.2560","6.27K","1.89%"
"Jul 08, 2021","4.2625","4.3025","4.3175","4.2300","7.19K","-1.30%"
"Jul 07, 2021","4.3185","4.2485","4.3550","4.2460","5.37K","1.68%"
"Jul 06, 2021","4.2470","4.2755","4.3960","4.2305","9.40K","-2.23%"
"Jul 05, 2021","4.3440","4.3135","4.3575","4.3090","-","1.67%"
"Jul 02, 2021","4.2725","4.2370","4.2895","4.2235","4.58K","0.98%"
"Jul 01, 2021","4.2310","4.2865","4.3065","4.2235","6.15K","-1.23%"
"Jun 30, 2021","4.2835","4.2530","4.3270","4.2465","9.82K","0.62%"
"Jun 29, 2021","4.2570","4.2795","4.2810","4.2040","8.09K","-0.55%"
"Jun 28, 2021","4.2805","4.2830","4.3085","4.2530","2.72K","-0.23%"
"Jun 25, 2021","4.2905","4.3050","4.3295","4.2685","3.92K","-0.38%"
"Jun 24, 2021","4.3070","4.3125","4.3200","4.2540","4.08K","-0.44%"
"Jun 23, 2021","4.3260","4.2265","4.3345","4.2250","5.28K","2.52%"
"Jun 22, 2021","4.2195","4.1845","4.2505","4.1760","4.57K","0.75%"
"Jun 21, 2021","4.1880","4.1360","4.1940","4.1100","4.26K","0.44%"
"Jun 18, 2021","4.1695","4.1935","4.2265","4.1280","3.78K","-0.52%"
"Jun 17, 2021","4.1915","4.2800","4.3505","4.1685","6.35K","-4.67%"
"Jun 16, 2021","4.3970","4.3545","4.4090","4.2800","4.79K","1.15%"
"Jun 15, 2021","4.3470","4.5380","4.5475","4.3300","6.49K","-4.23%"
"Jun 14, 2021","4.5390","4.5695","4.5830","4.5150","1.97K","-0.25%"
"Jun 11, 2021","4.5505","4.5015","4.6000","4.4905","2.42K","1.14%"
"Jun 10, 2021","4.4990","4.5370","4.5430","4.4575","3.96K","-0.96%"
"Jun 09, 2021","4.5425","4.5530","4.5625","4.5005","2.50K","-0.53%"
