"Date","Price","Open","High","Low","Change %"
"Jan 08, 2021","711.88","712.78","715.06","707.60","-0.08%"
"Jan 07, 2021","712.45","696.50","713.30","696.03","2.33%"
"Jan 06, 2021","696.25","695.88","700.90","692.60","0.09%"
"Jan 05, 2021","695.63","704.30","705.90","695.66","-1.20%"
"Jan 04, 2021","704.05","710.50","710.92","700.84","-0.80%"
"Jan 01, 2021","709.75","710.50","710.50","710.50","0.00%"
"Dec 31, 2020","709.75","710.50","710.95","710.00","-0.04%"
"Dec 30, 2020","710.00","715.35","715.39","707.45","-0.71%"
"Dec 29, 2020","715.08","712.01","715.60","708.24","0.48%"
"Dec 28, 2020","711.63","714.76","714.82","707.69","-0.38%"
"Dec 25, 2020","714.38","714.76","714.76","714.76","0.00%"
"Dec 24, 2020","714.38","714.08","715.03","705.49","0.10%"
"Dec 23, 2020","713.70","722.70","722.70","712.42","-1.21%"
"Dec 22, 2020","722.45","725.55","732.59","721.73","-0.36%"
"Dec 21, 2020","725.05","725.26","736.79","724.75","-0.01%"
"Dec 18, 2020","725.13","721.85","727.90","718.65","0.50%"
"Dec 17, 2020","721.53","734.17","734.17","720.03","-1.67%"
"Dec 16, 2020","733.80","736.13","737.61","731.96","-0.27%"
"Dec 15, 2020","735.75","735.34","737.45","729.65","0.09%"
"Dec 14, 2020","735.10","734.28","736.18","729.18","0.15%"
"Dec 11, 2020","734.03","734.75","737.77","730.17","-0.06%"
"Dec 10, 2020","734.50","743.20","743.20","733.68","-1.14%"
"Dec 09, 2020","742.95","744.92","745.15","737.18","-0.18%"
"Dec 08, 2020","744.30","745.22","745.38","741.73","-0.04%"
"Dec 07, 2020","744.60","743.91","748.44","740.29","0.14%"
"Dec 04, 2020","743.53","750.61","751.38","743.48","-0.91%"
"Dec 03, 2020","750.36","755.97","756.00","749.89","-0.71%"
"Dec 02, 2020","755.70","760.01","760.14","752.28","-0.52%"
"Dec 01, 2020","759.68","763.42","763.42","757.16","-0.13%"
"Nov 30, 2020","760.70","768.65","770.07","760.33","-0.97%"
"Nov 27, 2020","768.15","766.35","769.32","761.97","0.40%"
"Nov 26, 2020","765.10","764.80","768.33","763.17","0.07%"
"Nov 25, 2020","764.60","773.80","775.12","764.39","-1.16%"
"Nov 24, 2020","773.60","773.94","777.15","767.98","-0.02%"
"Nov 23, 2020","773.74","764.13","774.32","759.10","1.28%"
"Nov 20, 2020","763.93","759.16","766.34","753.47","0.66%"
"Nov 19, 2020","758.93","758.30","762.41","757.29","0.11%"
"Nov 18, 2020","758.08","763.21","764.00","756.18","-0.64%"
"Nov 17, 2020","762.98","766.53","770.43","762.96","-0.41%"
"Nov 16, 2020","766.10","767.08","771.05","762.83","-0.09%"
"Nov 13, 2020","766.80","761.08","769.76","761.05","0.80%"
"Nov 12, 2020","760.75","754.70","761.64","752.85","0.87%"
"Nov 11, 2020","754.20","754.73","760.23","750.08","-0.00%"
"Nov 10, 2020","754.23","757.55","763.67","754.38","-0.39%"
"Nov 09, 2020","757.18","751.49","761.01","747.22","0.81%"
"Nov 06, 2020","751.12","756.10","764.55","751.26","-0.61%"
"Nov 05, 2020","755.73","754.15","757.22","747.51","0.27%"
"Nov 04, 2020","753.70","759.50","764.13","753.10","-0.70%"
"Nov 03, 2020","759.05","767.72","767.78","752.66","-1.09%"
"Nov 02, 2020","767.40","773.30","773.58","766.01","-0.73%"
"Oct 30, 2020","773.05","772.01","774.45","768.84","0.18%"
"Oct 29, 2020","771.63","773.57","775.10","767.57","-0.22%"
"Oct 28, 2020","773.32","773.00","779.35","772.92","0.07%"
"Oct 27, 2020","772.75","775.28","775.28","767.97","-0.29%"
"Oct 26, 2020","775.03","776.70","782.72","774.95","-0.06%"
"Oct 23, 2020","775.50","778.73","780.53","774.75","-0.38%"
"Oct 22, 2020","778.48","783.01","787.85","777.92","-0.56%"
"Oct 21, 2020","782.83","785.97","786.60","781.42","-0.38%"
"Oct 20, 2020","785.79","787.58","789.11","783.15","-0.20%"
"Oct 19, 2020","787.38","793.50","796.39","785.15","-0.75%"
"Oct 16, 2020","793.30","804.10","804.28","793.50","-1.32%"
"Oct 15, 2020","803.95","798.78","804.70","798.72","0.67%"
"Oct 14, 2020","798.63","798.85","801.02","796.43","-0.01%"
"Oct 13, 2020","798.70","797.02","799.25","794.40","0.23%"
"Oct 12, 2020","796.87","794.75","799.02","794.75","0.34%"
"Oct 09, 2020","794.20","798.55","798.76","793.52","-0.52%"
"Oct 08, 2020","798.35","794.66","800.42","791.76","0.48%"
"Oct 07, 2020","794.53","798.76","798.76","792.55","-0.51%"
"Oct 06, 2020","798.63","798.69","801.57","793.51","0.03%"
"Oct 05, 2020","798.41","789.55","799.78","787.29","1.16%"
"Oct 02, 2020","789.27","787.08","793.47","786.82","0.38%"
"Oct 01, 2020","786.28","785.05","788.13","779.29","0.19%"
"Sep 30, 2020","784.77","784.58","790.45","782.79","0.08%"
"Sep 29, 2020","784.18","784.63","787.84","780.45","-0.03%"
"Sep 28, 2020","784.43","787.15","788.23","782.53","-0.44%"
"Sep 25, 2020","787.86","783.30","789.47","783.30","0.61%"
"Sep 24, 2020","783.10","783.28","791.28","781.53","0.08%"
"Sep 23, 2020","782.48","777.20","783.47","776.60","0.71%"
"Sep 22, 2020","777.00","774.48","778.23","770.76","0.35%"
"Sep 21, 2020","774.28","763.34","775.15","763.34","1.45%"
"Sep 18, 2020","763.19","761.20","765.09","759.97","0.29%"
"Sep 17, 2020","760.98","760.35","767.05","760.35","0.27%"
"Sep 16, 2020","758.94","763.25","764.03","757.97","-0.54%"
"Sep 15, 2020","763.06","765.25","765.47","757.43","-0.26%"
"Sep 14, 2020","765.05","769.90","772.35","763.46","-0.61%"
"Sep 11, 2020","769.77","773.13","773.28","765.84","-0.37%"
"Sep 10, 2020","772.60","766.58","773.38","761.84","0.91%"
"Sep 09, 2020","765.66","773.00","773.06","764.64","-0.88%"
"Sep 08, 2020","772.44","775.14","781.54","771.49","-0.27%"
"Sep 07, 2020","774.50","771.55","776.82","768.32","0.41%"
"Sep 04, 2020","771.31","775.75","776.00","770.39","-0.53%"
"Sep 03, 2020","775.45","771.35","776.78","769.67","0.55%"
"Sep 02, 2020","771.18","771.30","774.28","767.24","0.01%"
"Sep 01, 2020","771.13","776.38","776.77","768.45","-0.65%"
"Aug 31, 2020","776.21","779.48","780.33","773.55","-0.40%"
"Aug 28, 2020","779.33","784.41","785.04","777.58","-0.63%"
"Aug 27, 2020","784.31","784.60","787.57","779.20","-0.03%"
"Aug 26, 2020","784.51","787.13","793.30","783.83","-0.27%"
"Aug 25, 2020","786.67","785.98","787.27","781.27","0.15%"
"Aug 24, 2020","785.51","793.13","794.08","782.49","-0.90%"
"Aug 21, 2020","792.66","786.33","794.85","786.21","0.81%"
"Aug 20, 2020","786.26","784.40","790.30","782.38","0.30%"
"Aug 19, 2020","783.90","794.70","795.03","780.51","-1.29%"
"Aug 18, 2020","794.18","807.80","807.89","791.23","-1.59%"
"Aug 17, 2020","807.00","797.55","809.00","795.75","1.31%"
"Aug 14, 2020","796.58","793.45","800.68","791.60","0.46%"
"Aug 13, 2020","792.90","792.30","795.78","790.10","0.15%"
"Aug 12, 2020","791.75","794.50","796.87","789.03","-0.30%"
"Aug 11, 2020","794.11","805.98","805.98","788.17","-1.39%"
"Aug 10, 2020","805.33","788.75","806.50","784.24","2.27%"
"Aug 07, 2020","787.45","773.50","791.00","773.50","1.97%"
"Aug 06, 2020","772.20","777.45","784.65","769.57","-0.61%"
"Aug 05, 2020","776.96","771.67","778.24","766.90","0.75%"
"Aug 04, 2020","771.19","757.70","776.45","757.70","1.87%"
"Aug 03, 2020","757.00","756.76","769.09","753.84","0.08%"
"Jul 31, 2020","756.43","761.50","763.84","755.39","-0.59%"
"Jul 30, 2020","760.90","757.40","762.46","751.20","0.51%"
"Jul 29, 2020","757.01","764.96","766.29","755.25","-0.98%"
"Jul 28, 2020","764.50","768.41","772.79","764.33","-0.38%"
"Jul 27, 2020","767.40","774.18","774.22","765.17","-0.81%"
"Jul 24, 2020","773.63","770.40","776.81","760.77","0.46%"
"Jul 23, 2020","770.10","767.34","770.77","763.38","0.39%"
"Jul 22, 2020","767.10","771.60","772.65","765.86","-0.53%"
"Jul 21, 2020","771.18","786.26","786.26","770.20","-1.69%"
"Jul 20, 2020","784.40","787.85","788.96","782.45","-0.36%"
"Jul 17, 2020","787.20","787.31","789.74","781.50","-0.25%"
"Jul 16, 2020","789.21","782.05","789.81","781.24","1.05%"
"Jul 15, 2020","781.00","786.50","791.53","780.85","-0.62%"
"Jul 14, 2020","785.90","789.75","791.07","785.12","-0.38%"
"Jul 13, 2020","788.90","792.42","795.74","784.30","-0.38%"
"Jul 10, 2020","791.93","788.53","797.59","786.04","0.50%"
"Jul 09, 2020","788.00","786.91","789.98","773.49","0.18%"
"Jul 08, 2020","786.58","789.48","791.48","782.88","-0.31%"
"Jul 07, 2020","789.00","799.26","803.65","788.53","-1.16%"
"Jul 06, 2020","798.28","802.52","802.79","792.93","-0.48%"
"Jul 03, 2020","802.13","801.10","805.28","796.01","0.19%"
"Jul 02, 2020","800.61","808.60","809.10","798.70","-0.95%"
"Jul 01, 2020","808.26","822.99","822.99","808.75","-1.78%"
"Jun 30, 2020","822.90","821.47","823.95","818.47","0.37%"
"Jun 29, 2020","819.85","821.47","822.06","818.02","-0.15%"
"Jun 26, 2020","821.07","809.16","821.70","807.75","1.64%"
"Jun 25, 2020","807.80","819.08","821.76","808.22","-1.30%"
"Jun 24, 2020","818.40","819.25","824.88","816.96","-0.04%"
"Jun 23, 2020","818.73","819.70","820.92","814.65","-0.05%"
"Jun 22, 2020","819.18","817.30","822.43","808.82","0.34%"
"Jun 19, 2020","816.39","817.54","825.08","812.06","-0.07%"
"Jun 18, 2020","816.96","801.59","818.49","801.01","2.04%"
"Jun 17, 2020","800.61","784.25","805.07","784.07","2.17%"
"Jun 16, 2020","783.60","783.28","786.51","771.40","0.12%"
"Jun 15, 2020","782.69","792.26","802.95","782.35","-1.13%"
"Jun 12, 2020","791.67","792.75","796.04","782.57","-0.05%"
"Jun 11, 2020","792.10","773.46","793.50","771.53","2.47%"
"Jun 10, 2020","773.03","769.85","773.80","762.63","0.48%"
"Jun 09, 2020","769.33","767.54","776.79","767.41","0.33%"
"Jun 08, 2020","766.83","766.79","772.57","765.54","0.10%"
"Jun 05, 2020","766.08","770.97","771.15","758.48","-0.56%"
"Jun 04, 2020","770.39","785.65","788.44","770.28","-1.89%"
"Jun 03, 2020","785.20","777.25","786.65","764.24","1.11%"
"Jun 02, 2020","776.60","792.78","792.91","777.25","-1.94%"
"Jun 01, 2020","792.00","799.05","804.20","790.75","-0.80%"
"May 29, 2020","798.40","808.85","813.84","798.55","-1.23%"
"May 28, 2020","808.33","820.18","821.07","807.33","-1.38%"
"May 27, 2020","819.66","806.83","822.21","806.03","1.66%"
"May 26, 2020","806.31","804.70","807.55","798.20","0.26%"
"May 25, 2020","804.18","808.45","809.18","801.47","-0.46%"
"May 22, 2020","807.93","803.85","808.70","801.74","0.63%"
"May 21, 2020","802.88","803.85","805.26","798.90","-0.07%"
"May 20, 2020","803.43","818.70","818.70","800.28","-1.80%"
"May 19, 2020","818.18","819.00","821.36","816.85","-0.04%"
"May 18, 2020","818.48","827.65","827.65","818.82","-1.05%"
"May 15, 2020","827.13","822.00","827.87","820.10","0.69%"
"May 14, 2020","821.48","816.63","827.02","816.49","0.66%"
"May 13, 2020","816.11","824.58","824.66","816.03","-0.96%"
"May 12, 2020","824.06","823.43","824.58","818.97","0.25%"
"May 11, 2020","821.99","825.80","830.06","822.35","-0.40%"
"May 08, 2020","825.28","836.76","838.29","823.87","-1.31%"
"May 07, 2020","836.24","842.63","842.72","833.00","-0.70%"
"May 06, 2020","842.11","835.15","842.65","834.83","0.99%"
"May 05, 2020","833.85","837.75","837.75","829.98","-0.31%"
"May 04, 2020","836.45","834.70","842.46","834.70","0.37%"
"May 01, 2020","833.40","834.70","837.01","834.24","0.00%"
"Apr 30, 2020","833.40","834.20","840.42","832.50","-0.02%"
"Apr 29, 2020","833.55","844.60","845.21","833.49","-1.23%"
"Apr 28, 2020","843.95","856.85","858.84","843.75","-1.43%"
"Apr 27, 2020","856.20","857.25","861.04","854.18","-0.05%"
"Apr 24, 2020","856.60","860.01","863.02","856.99","-0.32%"
"Apr 23, 2020","859.36","858.65","862.71","853.63","0.16%"
"Apr 22, 2020","858.00","858.05","860.73","852.02","0.15%"
"Apr 21, 2020","856.75","857.05","866.07","856.93","0.12%"
"Apr 20, 2020","855.75","853.25","861.25","852.70","0.45%"
"Apr 17, 2020","851.95","852.35","855.22","842.00","0.11%"
"Apr 16, 2020","851.05","856.50","857.50","848.00","-0.49%"
"Apr 15, 2020","855.20","849.25","864.23","849.25","0.86%"
"Apr 14, 2020","847.95","849.88","852.74","841.83","-0.07%"
"Apr 13, 2020","848.58","841.38","851.92","833.15","1.01%"
"Apr 10, 2020","840.08","841.38","841.38","840.50","0.00%"
